Ration,Temperature,Result
0,30,2
0,32,2
0,34,2
0,36,2
0,38,2
0,40,2 
0,42,2
0,44,2
0,46,2
0,48,2
0,50,2
0.1,30,2
0.1,32,2
0.1,34,2
0.1,36,2
0.1,38,2
0.1,40,2
0.1,42,2
0.1,44,2
0.1,46,2
0.1,48,2
0.1,50,2
0.2,30,2
0.2,32,2
0.2,34,2
0.2,36,2
0.2,38,2
0.2,40,2
0.2,42,2
0.2,44,2
0.2,46,2
0.2,48,2
0.2,50,2
0.3,30,2
0.3,32,2
0.3,34,2
0.3,36,0
0.3,38,0
0.3,40,0
0.3,42,0
0.3,44,0
0.3,46,2
0.3,48,2
0.3,50,2
0.4,30,2
0.4,32,2
0.4,34,2
0.4,36,0
0.4,38,0
0.4,40,0
0.4,42,0
0.4,44,0
0.4,46,0
0.4,48,0
0.4,50,0
0.5,30,2
0.5,32,2
0.5,34,2
0.5,36,0
0.5,38,0
0.5,40,0
0.5,42,0
0.5,44,0
0.5,46,0
0.5,48,0
0.5,50,0
0.6,30,0
0.6,32,0
0.6,34,0
0.6,36,0
0.6,38,0
0.6,40,0
0.6,42,0
0.6,44,0
0.6,46,0
0.6,48,0
0.6,50,0
0.7,30,0
0.7,32,0
0.7,34,0
0.7,36,0
0.7,38,0
0.7,40,0
0.7,42,0
0.7,44,0
0.7,46,0
0.7,48,0
0.7,50,0
0.8,30,1
0.8,32,1
0.8,34,1
0.8,36,0
0.8,38,0
0.8,40,0
0.8,42,0
0.8,44,0
0.8,46,0
0.8,48,0
0.8,50,0
0.9,30,1
0.9,32,1
0.9,34,1
0.9,36,1
0.9,38,1
0.9,40,1
0.9,42,1
0.9,44,1
0.9,46,1
0.9,48,1
0.9,50,1
1,30,1
1,32,1
1,34,1
1,36,1
1,38,1
1,40,1
1,42,1
1,44,1
1,46,1
1,48,1
1,50,1